1: Max Upload: 776 Kbps, Max Download: 3276 Kbps, Latency: 26,34 ms, Packet Loss: 0,0000%
66: Max Upload: 433 Kbps, Max Download: 9580 Kbps, Latency: 24,48 ms, Packet Loss: 0,0003%
67: Max Upload: 19235 Kbps, Max Download: 441844 Kbps, Latency: 18,32 ms, Packet Loss: 0,0000%
68: Max Upload: 555 Kbps, Max Download: 5694 Kbps, Latency: 31,22 ms, Packet Loss: 0,0000%
69: Max Upload: 14462 Kbps, Max Download: 343310 Kbps, Latency: 17,13 ms, Packet Loss: 0,0130%
70: Max Upload: 1357 Kbps, Max Download: 3417 Kbps, Latency: 18,65 ms, Packet Loss: 0,0080%
71: Max Upload: 758 Kbps, Max Download: 15717 Kbps, Latency: 35,75 ms, Packet Loss: 0,0021%
72: Max Upload: 944 Kbps, Max Download: 5477 Kbps, Latency: 41,42 ms, Packet Loss: 0,0000%
73: Max Upload: 470 Kbps, Max Download: 9642 Kbps, Latency: 37,03 ms, Packet Loss: 0,0037%
74: Max Upload: 800 Kbps, Max Download: 7779 Kbps, Latency: 35,51 ms, Packet Loss: 0,0049%
75: Max Upload: 973 Kbps, Max Download: 9417 Kbps, Latency: 26,14 ms, Packet Loss: 0,0049%
76: Max Upload: 759 Kbps, Max Download: 21373 Kbps, Latency: 22,27 ms, Packet Loss: 0,0106%
77: Max Upload: 435 Kbps, Max Download: 8200 Kbps, Latency: 33,90 ms, Packet Loss: 0,0012%
78: Max Upload: 1147 Kbps, Max Download: 7291 Kbps, Latency: 23,58 ms, Packet Loss: 0,0000%
79: Max Upload: 902 Kbps, Max Download: 8743 Kbps, Latency: 33,85 ms, Packet Loss: 0,0000%
80: Max Upload: 926 Kbps, Max Download: 10408 Kbps, Latency: 16,87 ms, Packet Loss: 0,0013%
81: Max Upload: 14859 Kbps, Max Download: 296021 Kbps, Latency: 16,83 ms, Packet Loss: 0,0000%
82: Max Upload: 846 Kbps, Max Download: 15853 Kbps, Latency: 30,68 ms, Packet Loss: 0,0000%
83: Max Upload: 1175 Kbps, Max Download: 193 Kbps, Latency: 26,31 ms, Packet Loss: 0,0054%
84: Max Upload: 18103 Kbps, Max Download: 61309 Kbps, Latency: 14,49 ms, Packet Loss: 0,0003%
85: Max Upload: 1063 Kbps, Max Download: 8349 Kbps, Latency: 15,82 ms, Packet Loss: 0,0037%
86: Max Upload: 964 Kbps, Max Download: 2961 Kbps, Latency: 17,16 ms, Packet Loss: 0,0000%
87: Max Upload: 682 Kbps, Max Download: 5542 Kbps, Latency: 13,18 ms, Packet Loss: 0,0029%
88: Max Upload: 632 Kbps, Max Download: 12195 Kbps, Latency: 34,11 ms, Packet Loss: 0,0005%
89: Max Upload: 604 Kbps, Max Download: 12496 Kbps, Latency: 30,34 ms, Packet Loss: 0,0026%
90: Max Upload: 969 Kbps, Max Download: 12091 Kbps, Latency: 14,89 ms, Packet Loss: 0,0055%
91: Max Upload: 607 Kbps, Max Download: 10081 Kbps, Latency: 12,77 ms, Packet Loss: 0,0000%
92: Max Upload: 1084 Kbps, Max Download: 15652 Kbps, Latency: 21,87 ms, Packet Loss: 0,0088%
93: Max Upload: 701 Kbps, Max Download: 9101 Kbps, Latency: 26,11 ms, Packet Loss: 0,0051%
94: Max Upload: 848 Kbps, Max Download: 10771 Kbps, Latency: 26,92 ms, Packet Loss: 0,0034%
95: Max Upload: 311 Kbps, Max Download: 871 Kbps, Latency: 21,20 ms, Packet Loss: 0,0026%
96: Max Upload: 792 Kbps, Max Download: 13181 Kbps, Latency: 38,83 ms, Packet Loss: 0,0019%
97: Max Upload: 19511 Kbps, Max Download: 235766 Kbps, Latency: 20,49 ms, Packet Loss: 0,0059%
98: Max Upload: 1287 Kbps, Max Download: 11314 Kbps, Latency: 19,09 ms, Packet Loss: 0,0038%
99: Max Upload: 851 Kbps, Max Download: 13488 Kbps, Latency: 32,81 ms, Packet Loss: 0,0000%
100: Max Upload: 992 Kbps, Max Download: 3857 Kbps, Latency: 10,74 ms, Packet Loss: 0,0004%
lectureStudioServer: Max Upload: 29138 Kbps, Max Download: 78077 Kbps, Latency: 40,20 ms, Packet Loss: 0,0024%
