TestID;Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
Test51;20;NOT USED;18.12;2239815;1.13;1.21;1.37;true;0.15;0.09;0.12;13.02;12.99;13.00;13.16;13.08;13.12;;;;;;;1395
Test52;50;NOT USED;42.05;2239815;0.85;0.95;1.18;true;3.26;0.10;0.20;31.64;31.53;31.57;34.84;31.64;31.78;;;;;;;573
Test53;75;NOT USED;62.39;2239815;0.82;0.98;1.35;true;3.31;0.13;0.23;47.54;47.29;47.36;50.64;47.43;47.60;;;;;;;382
Test54;5;NOT USED;8.26;2239815;2.11;4.47;5.42;true;0.11;0.10;0.11;5.54;3.14;3.63;5.65;3.25;3.74;;;;;;;3302
Test55;5;NOT USED;7.83;2239815;2.30;4.43;5.25;true;0.11;0.10;0.10;5.55;3.13;3.63;5.66;3.24;3.74;;;;;;;3302
Test56;5;NOT USED;8.17;2239815;2.15;4.47;5.85;true;0.11;0.11;0.11;5.54;3.13;3.63;5.65;3.25;3.74;;;;;;;3302
Test57;5;NOT USED;7.90;2239815;2.15;4.30;5.32;true;0.11;0.10;0.11;5.54;3.14;3.62;5.65;3.25;3.74;;;;;;;3302
Test58;5;NOT USED;8.39;2239815;2.10;4.38;5.72;true;0.11;0.09;0.10;5.54;3.13;3.63;5.64;3.24;3.73;;;;;;;3302
Test59;5;NOT USED;8.28;2239815;2.11;4.30;5.35;true;0.11;0.10;0.10;5.54;3.13;3.62;5.65;3.24;3.73;;;;;;;3302
Test60;5;NOT USED;8.10;2239815;2.10;4.61;5.39;true;0.11;0.10;0.11;5.54;3.15;3.63;5.64;3.27;3.75;;;;;;;3302
Test61;5;NOT USED;8.41;2239815;2.45;4.51;5.49;true;0.12;0.10;0.11;5.55;3.13;3.63;5.67;3.23;3.75;;;;;;;3302
Test62;5;NOT USED;8.20;2239815;2.13;4.34;5.02;true;0.12;0.11;0.11;5.54;3.14;3.63;5.66;3.26;3.74;;;;;;;3302
Test63;5;NOT USED;8.09;2239815;2.10;4.32;5.85;true;0.11;0.10;0.11;5.54;3.13;3.62;5.65;3.24;3.74;;;;;;;3302
Test64;5;NOT USED;8.43;2239815;2.52;4.26;5.32;true;0.11;0.10;0.11;5.56;3.13;3.62;5.67;3.24;3.74;;;;;;;3302
Test65;5;NOT USED;8.31;2239815;2.23;4.46;5.35;true;0.11;0.10;0.10;5.54;3.14;3.63;5.65;3.25;3.74;;;;;;;3302
Test66;10;NOT USED;10.67;2239815;1.66;1.99;2.74;true;0.15;0.10;0.12;7.00;6.29;6.38;7.12;6.39;6.50;;;;;;;2606
Test67;20;NOT USED;18.17;2239815;1.06;1.20;1.36;true;0.15;0.09;0.12;13.01;12.98;12.99;13.16;13.07;13.11;;;;;;;1395
Test68;35;NOT USED;123.87;2239815;0.78;0.98;1.12;true;0.17;0.10;0.12;115.75;24.11;26.74;115.92;24.22;26.87;;;;;;;156
Test69;50;NOT USED;42.27;2239815;0.84;0.95;1.06;true;3.26;0.11;0.20;31.60;31.53;31.57;34.83;31.64;31.77;;;;;;;573
Test70;50;NOT USED;42.34;2239815;0.85;0.93;1.03;true;3.18;0.10;0.19;31.59;31.53;31.56;34.72;31.64;31.76;;;;;;;573
Test71;75;NOT USED;63.09;2239815;0.83;0.99;1.55;true;3.32;0.12;0.22;47.63;47.30;47.37;50.67;47.42;47.60;;;;;;;382
Test72;75;USED;34.27;2239815;1.18;12.36;50.34;true;25.05;0.10;11.31;10.21;3.95;6.53;30.58;8.16;17.85;;;;;;;1791
Test73;75;USED;75.63;2239815;0.81;4.53;40.73;true;27.68;0.11;14.16;67.98;4.65;13.10;68.18;12.32;27.27;;;;;;;266
Test74;50;USED;22.71;2239815;16.08;105.13;351.21;true;15.51;0.09;4.30;5.40;1.56;3.58;18.46;3.32;7.88;;;;;;;6222
Test75;50;USED;26.41;4293938;1.88;35.20;191.07;true;18.65;0.09;5.98;7.82;2.64;4.73;21.74;3.55;10.71;;;;;;;6222
Test76;50;USED;39.13;8869498;1.26;26.18;86.86;true;27.87;0.10;9.68;17.59;3.85;9.52;34.59;11.65;19.21;;;;;;;6222
Test77;50;USED;45.58;15890720;1.01;12.40;93.57;true;31.09;0.08;14.36;20.74;8.34;15.05;42.35;20.73;29.42;;;;;;;6222
Test78;50;USED;76.33;32095088;0.85;6.39;24.00;true;52.06;0.09;26.10;41.74;10.80;29.39;71.30;41.71;55.49;;;;;;;6222
Test79;50;NOT USED;18.54;2239815;1.35;3.40;13.59;true;3.24;0.09;0.19;7.78;6.95;7.09;10.22;7.04;7.28;;;;;;;2613
Test80;50;NOT USED;24.28;4293938;1.11;2.48;7.88;true;3.27;0.11;0.20;14.18;13.29;13.47;16.59;13.41;13.67;;;;;;;2613
Test81;50;NOT USED;38.04;8869498;0.92;1.69;4.79;true;3.33;0.11;0.29;28.45;27.40;27.61;30.77;27.53;27.90;;;;;;;2613
Test82;50;NOT USED;59.93;15890720;0.82;1.12;1.93;true;3.25;0.12;0.23;49.59;49.05;49.20;52.30;49.17;49.43;;;;;;;2613
Test83;50;NOT USED;118.34;32095088;0.75;1.14;11.98;true;3.38;0.12;0.35;110.04;99.00;99.39;110.18;99.13;99.74;;;;;;;2613
Test84;50;USED;22.18;2239815;2.95;83.99;286.69;true;15.55;0.08;4.53;5.95;0.86;3.24;17.62;3.05;7.78;;;;;;;6222
Test85;50;USED;29.90;4293938;1.86;56.92;400.00;true;21.67;0.10;6.57;11.54;2.59;5.29;24.99;5.73;11.87;;;;;;;6222
Test86;50;USED;34.27;8869498;1.27;28.00;86.29;true;21.68;0.09;8.87;18.47;4.44;9.52;28.95;11.65;18.39;;;;;;;6222
Test87;50;USED;45.99;15890720;1.01;12.10;38.41;true;30.92;0.08;13.49;20.75;5.97;15.09;42.03;20.73;28.59;;;;;;;6222
Test88;50;USED;77.77;32095088;0.85;5.26;23.17;true;52.40;0.09;26.24;41.75;10.51;29.20;72.47;41.73;55.44;;;;;;;6222
Test91;50;USED;21.97;2239815;2.95;87.67;433.27;true;15.41;0.08;4.84;5.47;1.51;3.24;17.73;3.05;8.09;;;;;;;6222
Test92;50;USED;23.90;4293938;1.90;82.96;355.53;true;15.57;0.09;6.07;9.57;2.81;5.79;20.87;5.72;11.86;;;;;;;6222
Test93;50;USED;34.83;8869498;1.24;29.34;121.64;true;21.71;0.09;7.68;13.91;5.09;9.31;26.81;11.64;17.00;;;;;;;6222
Test94;50;USED;46.84;15890720;1.01;14.49;100.45;true;30.76;0.09;14.00;20.74;5.95;15.29;41.88;20.73;29.30;;;;;;;6222
Test95;50;USED;77.42;32095088;0.86;7.20;31.11;true;52.22;0.09;27.00;41.73;11.42;29.51;72.16;41.71;56.52;;;;;;;6222
Test96;50;USED;143.66;67108864;0.78;2.40;6.01;true;98.81;0.09;52.54;87.15;19.13;59.93;141.38;87.05;112.48;;;;;;;6222
Test97;50;USED;274.13;134217728;0.74;1.27;6.54;true;187.56;0.12;103.77;174.19;37.00;118.99;271.02;174.01;222.76;;;;;;;6222
Test98;50;NOT USED;19.75;2239815;1.32;6.53;39.37;true;3.20;0.09;0.19;9.55;6.94;7.30;10.17;7.04;7.49;;;;;;;2613
Test99;50;NOT USED;25.69;4293938;1.03;9.22;35.91;true;0.29;0.10;0.15;17.86;13.28;14.35;18.02;13.39;14.51;;;;;;;2613
Test100;50;NOT USED;40.26;8869498;0.91;1.39;3.52;true;3.30;0.11;0.22;28.11;27.40;27.53;30.74;27.53;27.75;;;;;;;2613
Test101;50;NOT USED;61.33;15890720;0.82;1.08;2.59;true;0.24;0.13;0.16;49.91;49.05;49.18;50.08;49.18;49.35;;;;;;;2613
Test102;50;NOT USED;110.77;32095088;0.76;0.90;1.89;true;3.31;0.12;0.24;100.12;99.01;99.15;102.32;99.14;99.40;;;;;;;2613
Test103;50;NOT USED;218.21;67108864;0.73;0.79;1.19;true;3.32;0.12;0.35;207.90;206.96;207.10;210.32;207.10;207.46;;;;;;;2613
Test104;50;NOT USED;429.09;134217728;0.72;0.83;3.17;true;3.36;0.13;0.25;423.95;413.92;414.37;424.13;414.06;414.63;;;;;;;2613
Test105;50;NOT USED;18.75;2239815;1.32;4.67;42.10;true;3.24;0.09;0.25;9.74;6.94;7.17;10.23;7.04;7.43;;;;;;;2613
Test106;50;NOT USED;24.97;4293938;1.04;8.44;38.91;true;3.20;0.10;0.19;18.26;13.28;14.25;18.41;13.38;14.45;;;;;;;2613
Test107;50;NOT USED;38.80;8869498;0.89;1.18;2.64;true;3.24;0.09;0.28;27.87;27.39;27.47;30.64;27.51;27.76;;;;;;;2613
Test108;50;NOT USED;60.29;15890720;0.79;1.05;2.93;true;3.22;0.11;0.28;50.08;49.04;49.16;52.29;49.17;49.44;;;;;;;2613
Test109;50;NOT USED;110.63;32095088;0.76;0.98;2.61;true;3.34;0.12;0.36;100.82;99.01;99.23;102.40;99.14;99.59;;;;;;;2613
Test110;50;NOT USED;218.34;67108864;0.73;0.80;1.13;true;3.27;0.13;0.29;207.79;206.96;207.12;210.26;207.12;207.42;;;;;;;2613
Test111;50;NOT USED;425.55;134217728;0.73;0.79;2.91;true;0.39;0.14;0.21;422.92;413.92;414.23;423.08;414.07;414.44;;;;;;;2613
Test112;50;USED;20.54;2239815;2.91;65.80;313.09;true;12.32;0.08;2.93;5.58;0.80;2.86;16.16;0.90;5.79;;;;;;;6222
Test113;50;USED;24.19;4293938;1.86;52.03;280.30;true;15.47;0.09;5.69;8.72;1.38;5.09;21.52;3.05;10.79;;;;;;;6222
Test114;50;USED;37.19;8869498;1.28;41.34;349.31;true;24.83;0.09;9.90;14.38;5.48;9.92;32.70;11.64;19.82;;;;;;;6222
Test115;50;USED;45.91;15890720;1.08;10.44;71.92;true;31.10;0.11;14.96;23.82;7.41;15.07;41.03;20.79;30.03;;;;;;;6222
Test116;50;USED;80.35;32095088;0.88;5.60;22.73;true;55.65;0.11;26.82;43.67;10.54;29.34;76.24;41.75;56.17;;;;;;;6222
Test117;50;USED;144.77;67108864;0.81;1.97;6.73;true;100.57;0.12;53.09;88.80;18.88;59.83;139.99;87.12;112.92;;;;;;;6222
Test118;50;USED;274.27;134217728;0.74;1.51;9.30;true;186.69;0.13;103.61;174.06;36.97;119.18;268.58;174.04;222.80;;;;;;;6222
Test119;50;NOT USED;19.12;2239815;1.45;4.63;14.01;true;3.45;0.09;0.25;7.81;6.95;7.17;10.46;7.05;7.42;;;;;;;2613
Test120;50;USED;21.86;2239815;2.95;81.74;377.10;true;15.55;0.09;4.78;5.69;1.38;3.09;17.73;3.05;7.88;;;;;;;6222
Test121;50;NOT USED;428.92;134217728;0.73;0.86;3.64;true;0.37;0.15;0.22;425.89;413.93;414.50;426.05;414.09;414.72;;;;;;;2613
Test122;50;USED;285.99;134217728;0.76;1.93;12.54;true;188.28;0.16;104.95;175.84;37.26;119.58;282.42;174.06;224.54;;;;;;;6222
Test123;50;NOT USED;436.01;134217728;0.72;0.87;3.18;true;3.50;0.18;0.34;424.02;413.91;414.53;424.21;414.11;414.88;;;;;;;2613
Test124;50;USED;278.45;134217728;0.75;1.72;11.13;true;186.11;0.14;102.85;174.33;40.48;119.27;271.73;174.06;222.12;;;;;;;6222
Test125;50;NOT USED;110.82;32095088;0.77;1.06;1.95;true;3.28;0.10;0.20;100.18;99.02;99.31;102.38;99.13;99.51;;;;;;;2613
Test126;50;USED;75.34;32095088;0.85;6.97;22.09;true;52.47;0.09;26.33;41.72;10.63;29.51;72.43;41.70;55.85;;;;;;;6222
